land_id,nickname,describe,share_users,range
B2A0A5BCDE2D,秋山温泉度假会馆 南区,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
东樱村 东南部","Qiyushishuji, Heinrich4084, Syndikaze, TohoYouyouMu, ForeverZzz2408","(-408,-64,77)→(-321,320,97)[主世界]"
C611159E3064,村庄旁有掠夺者,,,"(-890,-64,17004)→(-887,320,17004)[主世界]"
0FC0D4F256AB,,,,"(1632,-64,-568)→(1674,320,-516)[主世界]"
C89379F1579B,恶地,,,"(210,-64,-3124)→(213,320,-3118)[主世界]"
75161A0CFECC,樱花小屋,,htdl19083669,"(3062,67,-613)→(3063,68,-612)[主世界]"
2180BEC83936,[白玉楼协会] 合作社 梦之岛，仆之家,[白玉楼协会] 合作社 梦之岛，仆之家,"SayojiKoishi, youyouzi115, Shiroha77, Carmen789321, NeiGuiYYDS, DoctorL06, PLR458, E761113, ShiftedChara449, TKxiao yi, Dissenotfind, qinfeng8523, Ocean12000","(228,-64,-136)→(369,320,11)[主世界]"
5D6B1A7C8641,,,[未知:2535429241207712],"(-383,-64,-202)→(-354,320,-173)[主世界]"
BFCB05DBF37E,北方新岛开发区 西部,,"ShiftedChara449, LacyBarley63167, RiverLight38454, LeiXiaoX, Heinrich4084, TohoYouyouMu, HansarDeus, dfgzaomiao, Syndikaze","(-178,-64,-1056)→(-56,320,-858)[主世界]"
C426558F4757,,,,"(1386,-64,4171)→(1418,320,4204)[主世界]"
28AD90D0A376,西行镇 Ultroveritas科学文化宫,,RiverLight38454,"(-726,64,-141)→(-611,188,-46)[主世界]"
697487BBB65B,雪地,,,"(5311,-64,1309)→(5315,320,1313)[主世界]"
32458920F58A,Site-CN-06 Area-5,,Soviet Union614,"(3248,-64,-272)→(3407,320,-113)[主世界]"
A08C5468859F,小野塚町 二丁目 一番,,"TohoYouyouMu, Heinrich4084, ShiftedChara449, LacyBarley63167, dfgzaomiao, HansarDeus, RiverLight38454, ALEX57152, Syndikaze","(-3736,-64,-1592)→(-3682,320,-1558)[主世界]"
86E0D63EDE6E,摩西欢迎您！,,,"(2777,-64,1977)→(2804,320,2002)[主世界]"
962A30DD1BEF,野外,,,"(3061,65,2670)→(3064,66,2673)[主世界]"
A0C756CE7824,黑古堡,,ImaoyueI,"(1925,-64,4457)→(1951,320,4490)[主世界]"
655FAEA66830,西行商会——璃海商行雪原分行,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
西行商会——璃海商行雪原分行","TohoYouyouMu, ImaoyueI, Heinrich4084, DoctorL06, Qiyushishuji, Syndikaze, HansarDeus, ForeverZzz2408, XmNyanCat, LacyBarley63167, ALEX57152, dfgzaomiao, haaamburger1996, Liqiu36","(3522,44,-737)→(3578,95,-673)[主世界]"
3B8AF98FCD59,西行殖民地,,,"(-3919,117,-1631)→(-3916,118,-1628)[主世界]"
5201F3924AFB,乡间小屋,,htdl19083669,"(-1420,63,120)→(-1419,64,121)[主世界]"
8B285E425505,,,,"(3213,-64,2641)→(3246,320,2681)[主世界]"
6C44BC577962,和凤猫舍,,,"(3517,63,2770)→(3533,75,2784)[主世界]"
431BE30E881A,发家之地，森林之塔,,,"(-5822,63,-3274)→(-5812,100,-3264)[主世界]"
27354C28F39B,FairestTrout790の领地,,[未知:2535460725003162],"(3655,62,2886)→(3658,63,2888)[主世界]"
cd4405f2-c887-4333-9375-b35f2da890aa,[体育部] 犬明湖林场,[体育部] 合作社 犬明湖林场,"AntimatterCorp, [未知:2535438107249475], [未知:2535463843362597], [未知:2535453017135428], [未知:2535451244239520], [未知:2535416578459598]","(3297,66,1799)→(3305,82,1807)[主世界]"
9D989F5F4D63,,,,"(1756,83,-631)→(1758,84,-629)[下界]"
B65D5E9E6546,,,,"(3889,60,-117)→(3896,61,-114)[下界]"
5770A9C4AF14,Katyushaの湖景别墅,,,"(3421,-64,2752)→(3435,320,2772)[主世界]"
D460F8B8429A,雪地高山,,,"(5481,155,1020)→(5484,156,1024)[主世界]"
0F8437787644,凯尔希工业地,,[未知:2535409442693219],"(2074,-64,4647)→(2132,320,4741)[主世界]"
D9E462FAD88E,塔顶,,"ImaoyueI, [未知:2535414821585066], GeeGBot, ForeverZzz2408, [未知:2535461964949076], SolidComb522181, [未知:2535458075746856], DaNaiLong KING, CommetWind, [未知:2535422898556844], SteelBag8401029, AntimatterCorp, LacyBarley63167, DoctorL06, [未知:2535459717153374], Stone5koishi, [未知:2535472959573936], [未知:2535469693193762], ougenduqin, HansarDeus, [未知:2535460987802090], [未知:2535424050028871], mingzhouNB666, Syndikaze, abgewlms, Qiyushishuji, [未知:2535416836754175], [未知:2535459664729864], AbruptFox116621, MarIE7943, htdl19083669, StarFaith2007, GenunineColt568, Ocean12000, Carmen789321, [未知:2535438411385450], HuoHua7777, ShiftedChara449, [未知:2535465638172743], [未知:2535461714560021], [未知:2535438796014443], [未知:2535434211057244]","(4096,103,-1210)→(4210,123,-1096)[主世界]"
BA1CC39541EF,蘑菇岛,,,"(-1188,-64,-562)→(-1166,320,-539)[主世界]"
6E93DCC8817B,村庄,,,"(-5274,-64,6734)→(-5270,320,6736)[主世界]"
C5136042A4E0,临时点,,,"(4548,63,1382)→(4561,65,1394)[主世界]"
DA8F6A9E759C,SuzerHome01,,,"(3033,-64,4607)→(3052,320,4626)[主世界]"
B603ABF56FE5,樱花小屋,,,"(3891,60,1573)→(3909,77,1604)[主世界]"
F3CA0EF16DCC,,,,"(160,-64,3696)→(319,320,3855)[主世界]"
ADF2A1B38C02,末地中转站05,,,"(28542,101,25664)→(28547,103,25670)[末地]"
BFD15438BF85,黄金王座,,"DoctorL06, MarIE7943, Luoxiyilian2313, Ocean12000, [未知:2535409442693219], RiverLight38454","(3829,106,-557)→(3839,120,-545)[主世界]"
798711F94856,,,,"(-153,68,216)→(-149,71,220)[主世界]"
CBCDC47F7ED1,[幽匿教会] 合作社 ,小黑塔,,"(230,0,-12)→(245,256,-3)[末地]"
